,DESCRIPCION,MARCA,CODIGO_DEL_REPUESTO,PRECIO_ESTIMADO,PRECIO_BASE
0,Amortiguador Posterior,Camiones Volvo,VO 20585556,471.43,0
1,Amortiguador,Camiones Volvo,VO 20374545,429.26,0
2,Cojinete de ruedas,"Buses Volvo, Camiones Volvo",VO 21036050,683.80,1052.01
3,Cubo (eje trasero),Camiones Volvo,VO 21328181,1724.00,0
4,Kit de cojinetes,Camiones Volvo,VO 21395854,735.26,0
5,Sensor,Camiones Volvo,VO 22194741,257.23,367.48
6,Juego de cojinete de rodillos,Camiones Volvo,VO 20967831,516.45,794.54
7,Amortiguador suspensión delantera FM12 FM13,Camiones Volvo,VO 20374546,454.83,0
8,Cojinete,Camiones Volvo,VO 3173772,193.35,0
9,Varilla de articulación,Camiones Volvo,VO 22159733,832.11,0
10,Ballesta Delantera,Camiones Volvo,VO 1635305,885.97,0
11,Cubo (eje trasero),Camiones Volvo,VO 23424897,1595.02,0
12,Juego De Casquillo,Camiones Volvo,VO 20702095,405.88,735.72
13,Servotubo,Camiones Volvo,VO 22615178,673.07,0
14,Resorte Neumático,Camiones Volvo,VO 21961374,486.60,0
15,Muelle Delantero,Camiones Volvo,VO 21321729,2175.42,0
16,Muelle Delantero,Camiones Volvo,VO 23236853,1585.59,0
17,Resorte de Goma,Camiones Volvo,VO 20390836,339.43,0
18,Muelle de hojas,Camiones Volvo,VO 257658,3982.30,0
19,Resorte Neumático,Camiones Volvo,VO 21961456,474.83,0
20,Muelle Posterior,Camiones Volvo,VO 257900,1986.12,0
21,Electroválvula,Camiones Volvo,VO 22327072,396.15,609.46
22,Buje de goma,Camiones Volvo,VO 20428165,45.47,0
23,Conector,Camiones Volvo,VO 21177259,74.49,0
